Date,Campaign_Platform,Campaign_Type,Ad_Spend_USD,Clicks,Impressions,Conversions,Revenue_USD,Target_Audience,SEO_Keyword,SEO_Search_Volume,SEO_Difficulty
2024-11-25,Google Search,Performance/ROAS,127.51,4283,26798,13,815.1,Gen Z,secure investment tracker,23900,3.9
2024-08-10,Google Search,Performance/ROAS,163.66,329,49499,7,996.04,Gen Z,free habit tracker,41711,3.9
2024-06-30,Instagram,Performance/ROAS,150.71,929,21319,14,280.07,Millennials,secure investment tracker,18928,2.2
2024-11-08,Google Search,App Install,279.73,3490,8734,11,0.0,Working Professionals,best budget planning app,13942,2.7
2024-04-28,Facebook,Performance/ROAS,91.87,4430,23938,10,202.42,Students,mobile finance solutions,44614,1.6
2024-06-17,Instagram,App Install,232.98,3704,1469,13,0.0,Students,free habit tracker,10281,3.1
2024-09-15,Facebook,Brand Awareness,378.01,2756,17534,12,164.64,Gen Z,best budget planning app,27404,4.0
2024-01-12,Facebook,App Install,241.45,971,44039,13,0.0,Students,mobile finance solutions,30641,3.4
2024-09-04,Facebook,App Install,351.28,3691,40122,5,0.0,Gen Z,free habit tracker,34443,4.4
2024-02-02,Google Search,App Install,326.64,3701,31934,6,0.0,Millennials,secure investment tracker,548,2.9
2024-04-13,Facebook,Performance/ROAS,368.99,483,32262,12,638.0,Millennials,best budget planning app,15623,0.5
2024-01-29,Facebook,Brand Awareness,48.8,2796,8863,13,636.4,Students,mobile finance solutions,36287,4.7
2024-11-09,Facebook,Performance/ROAS,379.87,4245,2872,16,30.94,Students,top rated productivity app,43681,4.1
2024-07-09,Google Search,Performance/ROAS,179.19,3034,39462,11,802.25,Students,secure investment tracker,2565,0.8
2024-07-04,Google Search,App Install,349.07,3342,9281,6,0.0,Gen Z,best budget planning app,10693,3.1
2024-02-24,TikTok,Brand Awareness,120.25,4940,7384,13,787.93,Students,secure investment tracker,11125,0.9
2024-10-13,Google Search,Re-engagement,275.56,3806,27991,12,608.18,Working Professionals,top rated productivity app,3105,1.7
2024-10-09,Facebook,App Install,244.51,149,1472,9,0.0,Millennials,secure investment tracker,48012,3.4
2024-11-05,Facebook,Re-engagement,411.32,1597,16573,14,327.56,Working Professionals,easy goal setting,47900,3.2
2024-10-29,Facebook,Brand Awareness,135.08,3509,41235,17,688.9,Working Professionals,best budget planning app,32083,1.5
2024-05-09,Google Search,Re-engagement,287.22,4724,30083,10,846.33,Students,easy goal setting,35974,2.1
2024-06-10,Google Search,Performance/ROAS,425.61,4667,25687,16,326.35,Millennials,easy goal setting,15487,4.8
2024-03-17,Google Search,Brand Awareness,454.7,4896,4657,5,570.95,Working Professionals,free habit tracker,34406,1.2
2024-02-26,Facebook,Performance/ROAS,191.61,719,40370,9,620.33,Working Professionals,free habit tracker,38973,2.0
2024-07-12,Facebook,Performance/ROAS,455.4,636,10534,11,260.94,Gen Z,easy goal setting,18540,1.6
2024-12-20,Google Search,Performance/ROAS,304.46,182,30088,9,326.13,Millennials,easy goal setting,5262,1.0
2024-08-05,Facebook,Performance/ROAS,348.85,2813,22520,10,332.14,Working Professionals,best budget planning app,4240,3.9
2024-01-12,Google Search,Performance/ROAS,416.26,2330,35772,8,443.32,Working Professionals,free habit tracker,44503,4.0
2024-12-23,Google Search,Brand Awareness,82.41,4706,35161,6,377.32,Gen Z,best budget planning app,45530,0.7
2024-01-30,Facebook,Brand Awareness,110.71,4160,42680,6,397.28,Millennials,free habit tracker,7088,2.1
2024-02-19,Facebook,Re-engagement,319.03,1590,35252,11,250.09,Millennials,easy goal setting,39917,3.1
2024-06-17,Google Search,Performance/ROAS,361.74,2770,2555,15,977.59,Gen Z,free habit tracker,40584,4.2
2024-02-09,Google Search,Performance/ROAS,402.98,4686,19979,12,922.3,Students,easy goal setting,17914,2.9
2024-01-18,Facebook,Re-engagement,34.66,1774,26415,4,3.443,Millennials,best budget planning app,48100,1.4
2024-09-07,Google Search,App Install,50.73,3722,1563,8,0.0,Millennials,mobile finance solutions,762,2.3
2024-02-07,Google Search,Performance/ROAS,441.17,516,24088,8,144.42,Gen Z,top rated productivity app,25789,3.9
2024-02-25,Instagram,Performance/ROAS,335.36,967,25776,6,909.56,Millennials,mobile finance solutions,33364,1.9
2024-10-03,TikTok,Performance/ROAS,285.56,3348,10217,10,826.24,Gen Z,secure investment tracker,27739,4.2
2024-10-23,Facebook,App Install,249.55,4427,23490,10,0.0,Working Professionals,easy goal setting,40121,2.4
2024-09-28,Google Search,Re-engagement,56.69,2371,11021,11,620.27,Millennials,easy goal setting,24811,1.1
2024-02-27,Instagram,Performance/ROAS,300.95,4611,2438,8,715.84,Students,top rated productivity app,32036,0.8
2024-06-14,Google Search,Performance/ROAS,284.54,4422,20717,13,824.51,Students,top rated productivity app,48477,4.9
2024-01-19,Instagram,Performance/ROAS,249.34,2193,36111,10,102.19,Students,easy goal setting,34186,2.3
2024-07-15,Instagram,Brand Awareness,150.57,980,15324,7,467.36,Gen Z,best budget planning app,33145,1.0
2024-05-29,Google Search,Performance/ROAS,107.73,412,42654,7,755.45,Millennials,secure investment tracker,3478,3.1
2024-04-05,Google Search,Performance/ROAS,394.55,578,7962,12,225.66,Working Professionals,secure investment tracker,21325,2.6
2024-03-23,Facebook,Performance/ROAS,276.26,871,49804,10,700.33,Students,best budget planning app,43634,3.0
2024-02-11,Google Search,Performance/ROAS,190.67,2316,33412,14,361.55,Millennials,best budget planning app,16606,0.7
2024-04-28,Facebook,App Install,232.43,2711,1707,16,0.0,Students,secure investment tracker,42644,4.9
2024-04-28,Google Search,App Install,232.49,3065,23317,5,0.0,Millennials,secure investment tracker,1937,4.7
2024-02-26,Facebook,Performance/ROAS,93.1,4632,24821,6,276.61,Gen Z,best budget planning app,21646,4.9
2024-07-11,Google Search,App Install,216.33,4865,33516,9,0.0,Millennials,secure investment tracker,13634,1.8
2024-02-27,TikTok,Performance/ROAS,458.95,4837,4970,8,969.0,Working Professionals,mobile finance solutions,25454,3.1
2024-05-24,Google Search,Re-engagement,408.41,121,42870,10,245.55,Gen Z,mobile finance solutions,9027,0.8
2024-12-05,Instagram,Performance/ROAS,357.5,2232,29399,7,395.1,Gen Z,secure investment tracker,10566,1.9
2024-05-19,Facebook,Performance/ROAS,393.1,4731,26208,11,209.13,Gen Z,secure investment tracker,17285,2.3
2024-08-22,Instagram,Performance/ROAS,446.48,3192,21008,17,11.17,Gen Z,best budget planning app,41174,1.3
